Date,"Student Username",App,Activity
06/29/2023,demo_student,Typio,"Did a mini review."
06/30/2023,demo_student,Braillio,"Tweaked settings."
06/30/2023,demo_student,Typio,"Practiced typing."
07/18/2023,demo_student,Braillio,"Played Braillio Chatterbox."
07/18/2023,demo_student,Typio,"Did a mini training."
07/18/2023,demo_student,"Quick Cards","Took Taylor Test test."
07/18/2023,demo_student,"Quick Cards","Scored 20% on Taylor Test test."
07/19/2023,demo_student,Typio-BRL,"Practiced typing."
07/19/2023,demo_student,Braillio,"Explored the keyboard."
07/27/2023,demo_student,Braillio,"Played Braillio Echo."
07/27/2023,demo_student,Braillio,"Played Race."
07/27/2023,demo_student,Typio-BRL,"Continued their Typing Journey."
07/27/2023,demo_student,Arcade,"Played  in Hangman."
07/27/2023,demo_student,"Quick Cards","Studied alphabetic wordsigns comma separated.csv deck."
08/05/2023,demo_student,Braillio,"Tweaked settings."
08/05/2023,demo_student,Typio-BRL,"Continued their Typing Journey."
08/11/2023,demo_student,Typio,"Practiced typing."
08/14/2023,demo_student,Braillio,"Tweaked settings."
08/14/2023,demo_student,Typio,"Practiced typing."
08/24/2023,demo_student,"Quick Cards","Studied Taylor Songs deck."
08/24/2023,demo_student,"Quick Cards","Studied Create a new deck deck."
08/24/2023,demo_student,"Quick Cards","Studied Carly Song Titles deck."
08/24/2023,demo_student,"Quick Cards","Edited Carly Song Titles deck."
08/24/2023,demo_student,"Quick Cards","Took Carly Song Titles test."
08/24/2023,demo_student,"Quick Cards","Took Taylor Test test."
08/24/2023,demo_student,"Quick Cards","Scored 20% on Taylor Test test."
08/24/2023,demo_student,"Quick Cards","Took Taylor Songs test."
08/24/2023,demo_student,"Quick Cards","Scored 75% on Taylor Songs test."
08/24/2023,demo_student,Typio,"Practiced typing."
08/24/2023,demo_student,"Quick Cards","Scored 60% on Taylor Test test."
08/28/2023,demo_student,Typio,"Practiced typing."
08/29/2023,demo_student,Braillio,"Tweaked settings."
08/29/2023,demo_student,Arcade,"Tweaked settings."
08/29/2023,demo_student,Typio,"Practiced typing."
08/29/2023,demo_student,Typio,"Typed a custom lesson."
08/29/2023,demo_student,Typio,"Tweaked settings."
08/29/2023,demo_student,"Quick Cards","Studied Taylor Songs deck."
08/29/2023,demo_student,"Quick Cards","Took Taylor Test test."
08/29/2023,demo_student,"Quick Cards","Scored 100% on Taylor Test test."
08/29/2023,demo_student,"Quick Cards","Took Taylor Songs test."
08/29/2023,demo_student,Arcade,"Played  in Hangman."
08/29/2023,demo_student,Arcade,"Played Echo Easy."
08/29/2023,demo_student,Arcade,"Played Canteen."
09/05/2023,demo_student,Typio,"Practiced typing."
09/05/2023,demo_student,Typio,"Did Free Type."
09/18/2023,demo_student,Typio,"Typed a custom lesson."
09/18/2023,demo_student,Typio,"Did a mini training."
09/20/2023,demo_student,Typio,"Typed a custom lesson."
09/21/2023,demo_student,Typio,"Typed a custom lesson."
09/21/2023,demo_student,Typio,"Tweaked settings."
09/22/2023,demo_student,Typio,"Typed a custom lesson."
09/22/2023,demo_student,Typio,"Did a mini training."
09/22/2023,demo_student,Typio,"Played Typio Chatterbox."
09/23/2023,demo_student,Typio,"Typed a custom lesson."
09/27/2023,demo_student,Typio,"Continued their Typing Journey."
09/27/2023,demo_student,Typio,"Did a mini training."
09/27/2023,demo_student,Typio,"Practiced typing."
09/27/2023,demo_student,Typio,"Played Race."
09/27/2023,demo_student,Typio,"Played Hot or Cold."
09/28/2023,demo_student,Typio,"Did a mini training."
09/29/2023,demo_student,"Quick Cards","Studied alphabetic wordsigns comma separated.csv deck."
10/02/2023,demo_student,Typio,"Tweaked settings."
10/02/2023,demo_student,Typio,"Continued their Typing Journey."
10/02/2023,demo_student,Typio,"Did a mini training."
10/02/2023,demo_student,Typio,"Practiced typing."
10/03/2023,demo_student,Typio,"Typed a custom lesson."
10/04/2023,demo_student,"Quick Cards","Edited abc deck."
10/04/2023,demo_student,"Quick Cards","Edited Taylor Songs deck."
10/04/2023,demo_student,"Quick Cards","Studied Taylor Songs deck."
