Date,"Student Username",Lesson,WPM,Accuracy,Errors
08/01/2024,update_basic_braille,"01. Letters A and B",10,100%,0
08/02/2024,update_basic_braille,"02. Letter C",16,85%,5
08/02/2024,update_basic_braille,"03. Letter D",15,95%,2
08/02/2024,update_basic_braille,"04. Letter E",14,91%,5
08/02/2024,update_basic_braille,"03. Letter D",16,95%,2
08/02/2024,update_basic_braille,"05. Letter F",18,97%,3
08/02/2024,update_basic_braille,"06. Letter G",14,78%,34
08/08/2024,update_basic_braille,"Free Type",1,3%,0
06/07/2023,demo_student,"01. The Right Hand",26,98%,1
06/07/2023,demo_student,"01. The Right Hand",66,100%,0
08/14/2023,demo_student,"01. The Right Hand",47,87%,8
09/15/2023,demo_student,"02. The Left Hand",40,97%,2
09/20/2023,demo_student,"09. Letter J",29,96%,5
12/15/2023,demo_student,"01. Letters A and B",12,70%,9
09/11/2024,demo_student,"02. Letter C",3,23%,99
09/11/2024,demo_student,"02. Letter C",4,22%,101
10/08/2024,demo_student,"BRL Custom Lesson",12,78%,8
11/05/2024,demo_student,"Free Type",72,0%,0
09/03/2025,demo_student,"01. Letters A and B",19,100%,0
09/03/2025,demo_student,"09. Letter J",18,99%,1
09/03/2025,demo_student,"01. Letters A and B",19,100%,0
09/03/2025,demo_student,"10. Letter K",18,95%,7
09/03/2025,demo_student,"01. Letters A and B",17,95%,1
08/01/2024,update_basic_braille,"01. Letters A and B",10,100%,0
08/02/2024,update_basic_braille,"02. Letter C",16,85%,5
08/02/2024,update_basic_braille,"03. Letter D",15,95%,2
08/02/2024,update_basic_braille,"04. Letter E",14,91%,5
08/02/2024,update_basic_braille,"03. Letter D",16,95%,2
08/02/2024,update_basic_braille,"05. Letter F",18,97%,3
08/02/2024,update_basic_braille,"06. Letter G",14,78%,34
08/08/2024,update_basic_braille,"Free Type",1,3%,0
