Date,"Student Username",File,Score,Errors
07/18/2023,demo_student,"Taylor Test",20%,4
07/18/2023,demo_student,"Taylor Test",20%,4
08/24/2023,demo_student,"Taylor Test",20%,4
08/24/2023,demo_student,"Taylor Songs",75%,1
08/24/2023,demo_student,"Taylor Test",60%,2
08/29/2023,demo_student,"Taylor Test",100%,0
04/12/2024,demo_student,"Taylor Test",20%,4
04/29/2024,demo_student,"Taylor Test",40%,3
04/29/2024,demo_student,"Taylor Test",40%,3
05/06/2024,demo_student,"Taylor Test",60%,2
08/02/2024,demo_student,"Carly Song Titles",100%,0
08/12/2024,demo_student,"Taylor Songs",100%,0
08/12/2024,demo_student,"Carly Song Titles",20%,4
08/12/2024,demo_student,"Taylor Test",,5
08/12/2024,demo_student,"Taylor Test",40%,3
08/12/2024,demo_student,"Taylor Test",40%,3
08/12/2024,demo_student,"Taylor Test",40%,3
08/12/2024,demo_student,"Taylor Test",40%,3
08/12/2024,demo_student,"Taylor Test",40%,3
08/12/2024,demo_student,"Taylor Test",40%,3
08/12/2024,demo_student,"Taylor Test",40%,3
08/12/2024,demo_student,"Taylor Test",40%,3
08/12/2024,demo_student,"Taylor Test",40%,3
08/12/2024,demo_student,"Taylor Test",40%,3
08/12/2024,demo_student,"Taylor Test",40%,3
08/12/2024,demo_student,"Taylor Test",,5
08/12/2024,demo_student,"Taylor Test",60%,2
08/12/2024,demo_student,"Taylor Test",40%,3
08/12/2024,demo_student,"Taylor Test",40%,3
08/12/2024,demo_student,"Taylor Test",40%,3
08/12/2024,demo_student,"Taylor Test",40%,3
08/12/2024,demo_student,"Taylor Test",40%,3
08/12/2024,demo_student,"Taylor Test",40%,3
08/12/2024,demo_student,"Taylor Test",40%,3
08/12/2024,demo_student,"Taylor Test",40%,3
08/12/2024,demo_student,"Taylor Test",40%,3
08/12/2024,demo_student,"Taylor Test",40%,3
08/12/2024,demo_student,"Taylor Test",40%,3
08/12/2024,demo_student,"Taylor Test",40%,3
08/12/2024,demo_student,"Taylor Test",40%,3
08/12/2024,demo_student,"Taylor Test",40%,3
08/12/2024,demo_student,"Taylor Test",40%,3
08/12/2024,demo_student,"Taylor Test",40%,3
08/12/2024,demo_student,"Taylor Test",40%,3
08/12/2024,demo_student,"Carly Song Titles",20%,4
08/12/2024,demo_student,"Taylor Test",20%,4
08/12/2024,demo_student,"Taylor Test",40%,3
08/12/2024,demo_student,"Taylor Test",40%,3
08/12/2024,demo_student,"Taylor Test",40%,3
08/12/2024,demo_student,"Taylor Test",40%,3
08/12/2024,demo_student,"Taylor Test",40%,3
08/12/2024,demo_student,"Taylor Test",40%,3
08/22/2024,demo_student,"Taylor Test",40%,3
08/27/2024,demo_student,"Taylor Test",40%,3
08/27/2024,demo_student,"Taylor Test",40%,3
08/27/2024,demo_student,"Taylor Test",40%,3
08/27/2024,demo_student,"Taylor Test",40%,3
08/27/2024,demo_student,"Carly Song Titles",16%,5
09/05/2024,demo_student,"Taylor Test",,5
09/05/2024,demo_student,"Carly Song Titles",50%,3
09/05/2024,demo_student,"Taylor Test",20%,4
09/05/2024,demo_student,"Taylor Test",20%,4
09/10/2024,demo_student,"Taylor Test",,6
09/11/2024,demo_student,"Taylor Test",40%,3
09/16/2024,demo_student,"Carly Song Titles",33%,4
09/16/2024,demo_student,"Taylor Test",20%,4
09/16/2024,demo_student,"Carly Song Titles",16%,5
10/30/2024,demo_student,"Taylor Test",40%,3
12/07/2024,demo_student,"Taylor Test",,5
12/07/2024,demo_student,"Taylor Test",100%,0
12/07/2024,demo_student,"Taylor Test",80%,1
02/05/2025,demo_student,"Taylor Test",100%,0
02/06/2025,demo_student,"Taylor Test",100%,0
02/10/2025,demo_student,"Taylor Test",60%,2
05/07/2025,demo_student,"Taylor Deck",66%,2
05/07/2025,demo_student,"Taylor Test",,5
05/09/2025,demo_student,"Taylor Test",,5
05/09/2025,demo_student,"Taylor Test",60%,2
05/25/2025,demo_student,"Taylor Deck",,5
05/28/2025,demo_student,"Taylor Deck",20%,4
05/28/2025,demo_student,"Taylor Deck",20%,4
05/28/2025,demo_student,"Taylor Deck",,5
05/28/2025,demo_student,"Taylor Deck",40%,3
05/28/2025,demo_student,"Taylor Deck",40%,3
05/28/2025,demo_student,"Taylor Deck",100%,0
05/28/2025,demo_student,"Taylor Deck",100%,0
05/28/2025,demo_student,"Taylor Deck",40%,3
05/28/2025,demo_student,"Taylor Deck",20%,4
05/28/2025,demo_student,"Taylor Deck",100%,0
05/28/2025,demo_student,"Taylor Deck",100%,0
05/28/2025,demo_student,"Taylor Test",20%,4
05/28/2025,demo_student,"Taylor Test",40%,3
05/28/2025,demo_student,"Taylor Test",40%,3
05/28/2025,demo_student,"Taylor Deck",40%,3
05/28/2025,demo_student,"Taylor Test",20%,4
05/28/2025,demo_student,"Taylor Test",40%,3
05/28/2025,demo_student,"Taylor Test",40%,3
05/28/2025,demo_student,"Taylor Test",20%,4
05/28/2025,demo_student,"Taylor Test",40%,3
05/28/2025,demo_student,"Taylor Test",,5
05/28/2025,demo_student,"Taylor Test",,5
05/28/2025,demo_student,"Taylor Test",40%,3
05/28/2025,demo_student,"Taylor Test",40%,3
05/28/2025,demo_student,"Taylor Test",40%,3
