Date,"Student Username",Lesson,WPM,Accuracy,Errors
08/01/2024,devang_basic,"1. J and F keys",22,92%,5
08/01/2024,devang_basic,"2. K and D keys",21,90%,6
08/01/2024,devang_basic,"01. The Right Hand",17,88%,7
08/01/2024,devang_basic,"02. The Left Hand",19,85%,11
08/01/2024,devang_basic,"03. The Home Row",14,87%,26
08/01/2024,devang_basic,"04. The I Key",17,91%,26
08/01/2024,devang_basic,"1. J and F keys",24,100%,0
08/03/2024,devang_basic,"05. The E Key",35,89%,34
08/03/2024,devang_basic,"06. The H Key",18,96%,10
08/03/2024,devang_basic,"07. The G Key",20,96%,12
08/03/2024,devang_basic,"08. The R Key",21,96%,13
08/03/2024,devang_basic,"09. The U Key",20,97%,9
08/03/2024,devang_basic,"10. The N Key",22,96%,16
08/03/2024,devang_basic,"13. The O Key",21,97%,10
08/03/2024,devang_basic,"11. The V Key",22,94%,19
08/03/2024,devang_basic,"12. The W Key",19,92%,26
08/03/2024,devang_basic,"13. The O Key",23,96%,12
08/03/2024,devang_basic,"14. Capital Letters",15,94%,13
08/03/2024,devang_basic,"15. C and Comma",19,93%,14
08/03/2024,devang_basic,"16. T and Period",19,95%,20
08/03/2024,devang_basic,"18. The M Key",22,95%,22
08/03/2024,devang_basic,"17. Question Mark",19,95%,14
08/03/2024,devang_basic,"18. The M Key",23,98%,9
08/03/2024,devang_basic,"19. The Y Key",20,98%,7
08/03/2024,devang_basic,"20. The Apostrophe Key",15,94%,16
08/03/2024,devang_basic,"21. The B Key",20,96%,16
08/03/2024,devang_basic,"22. The Quotation Mark",15,96%,11
08/03/2024,devang_basic,"23. The Q Key",16,96%,16
08/03/2024,devang_basic,"24. The Colon Key",16,94%,18
08/03/2024,devang_basic,"25. The P Key",18,91%,47
08/03/2024,devang_basic,"26. The X Key",22,96%,9
08/03/2024,devang_basic,"27. The Z Key",22,97%,9
08/03/2024,devang_basic,"28. Left Hand Number Row",19,98%,3
08/03/2024,devang_basic,"29. Right Hand Number Row",18,96%,10
08/03/2024,devang_basic,"30. The Entire Number Row",22,94%,21
08/03/2024,devang_basic,"31. The Exclamation Mark and At Symbol",16,95%,16
08/03/2024,devang_basic,"32. Number and Dollar Sign",16,98%,7
08/03/2024,devang_basic,"33. Percent and Caret",17,94%,22
08/03/2024,devang_basic,"3. JFKD Practice",17,93%,6
08/03/2024,devang_basic,"4. L and S keys",25,90%,6
08/03/2024,devang_basic,"5. JFKDLS Practice",17,97%,2
08/03/2024,devang_basic,"34. Ampersand and Asterisk",19,98%,5
08/03/2024,devang_basic,"6. A and ; keys",20,98%,1
08/03/2024,devang_basic,"Home Row Only",27,91%,10
08/03/2024,devang_basic,"7. Full Home Row",17,95%,4
08/03/2024,devang_basic,"8. Right Hand Home Row",16,98%,1
08/03/2024,devang_basic,"Mini Review",16,93%,2
08/03/2024,devang_basic,"9. Left Hand Home Row",22,97%,2
08/03/2024,devang_basic,"10. Home Row Review",22,91%,12
08/03/2024,devang_basic,"11. The I key",31,98%,3
08/03/2024,devang_basic,"Mini Review",30,95%,2
08/03/2024,devang_basic,"Home Row Only",24,98%,2
08/03/2024,devang_basic,"1. J and F keys",23,96%,2
08/03/2024,devang_basic,"35. Right and Left Parenthesis",13,94%,16
08/03/2024,devang_basic,"36. Underscore and Hyphen",21,94%,33
08/03/2024,devang_basic,"Mini Review",25,92%,3
08/03/2024,devang_basic,"12. I words",22,90%,4
08/03/2024,devang_basic,"13. The E key",27,96%,6
08/03/2024,devang_basic,"14. Short Phrases",40,98%,2
08/03/2024,devang_basic,"15. I E Crazy",26,90%,6
08/03/2024,devang_basic,"16. The H key",28,93%,15
08/03/2024,devang_basic,"17. Semicolon Sentences",34,96%,7
08/03/2024,devang_basic,"18. The G key",25,91%,20
08/03/2024,devang_basic,"19. G and H Practice",17,97%,3
08/03/2024,devang_basic,"20. Easy Reach Review",35,94%,9
08/03/2024,devang_basic,"21. The R key",33,91%,20
08/03/2024,devang_basic,"22. Frill Crazy",33,96%,2
08/03/2024,devang_basic,"23. The U key",19,87%,31
08/03/2024,devang_basic,"23. The U key",21,90%,22
08/03/2024,devang_basic,"24. Random Phrases",33,94%,8
08/03/2024,devang_basic,"25. The W key",26,91%,20
08/03/2024,devang_basic,"26. Left Hand Practice",12,88%,10
08/03/2024,devang_basic,"26. Left Hand Practice",27,93%,5
08/03/2024,devang_basic,"37. Equal and Plus",7,84%,25
08/03/2024,devang_basic,"37. Equal and Plus",15,87%,20
08/03/2024,devang_basic,"37. Equal and Plus",10,82%,30
08/03/2024,devang_basic,"37. Equal and Plus",15,90%,14
08/03/2024,devang_basic,"38. Square Brackets",18,93%,13
08/03/2024,devang_basic,"39. Curly Brackets",18,91%,23
08/03/2024,devang_basic,"40. Less than and Greater than",17,86%,32
08/03/2024,devang_basic,"40. Less than and Greater than",18,92%,18
08/03/2024,devang_basic,"41. Forward Slash and Backslash",17,90%,25
08/03/2024,devang_basic,"42. Numpad Numbers",22,93%,7
08/03/2024,devang_basic,"43. Numpad Symbols",20,94%,10
08/03/2024,devang_basic,"44. The Final Test",26,92%,36
08/03/2024,devang_basic,"1. J and F keys",22,89%,7
08/03/2024,devang_basic,"Home Row Only",29,94%,7
08/03/2024,devang_basic,"2. K and D keys",20,96%,2
08/03/2024,devang_basic,"Home Row Only",31,93%,8
08/03/2024,devang_basic,"28. Right Hand Practice",13,90%,6
08/03/2024,devang_basic,"29. Random Phrase",22,88%,18
08/03/2024,devang_basic,"1. J and F keys",27,93%,4
08/03/2024,devang_basic,"Home Row Only",29,93%,8
08/03/2024,devang_basic,"1. J and F keys",30,96%,2
08/03/2024,devang_basic,"2. K and D keys",24,85%,10
08/03/2024,devang_basic,"1. J and F keys",27,96%,2
08/03/2024,devang_basic,"1. J and F keys",30,96%,2
06/07/2023,demo_student,"01. The Right Hand",26,98%,1
06/07/2023,demo_student,"01. The Right Hand",66,100%,0
08/14/2023,demo_student,"01. The Right Hand",47,87%,8
09/15/2023,demo_student,"02. The Left Hand",40,97%,2
09/20/2023,demo_student,"09. Letter J",29,96%,5
12/15/2023,demo_student,"01. Letters A and B",12,70%,9
09/11/2024,demo_student,"02. Letter C",3,23%,99
09/11/2024,demo_student,"02. Letter C",4,22%,101
10/08/2024,demo_student,"BRL Custom Lesson",12,78%,8
11/05/2024,demo_student,"Free Type",72,0%,0
09/03/2025,demo_student,"01. Letters A and B",19,100%,0
09/03/2025,demo_student,"09. Letter J",18,99%,1
09/03/2025,demo_student,"01. Letters A and B",19,100%,0
09/03/2025,demo_student,"10. Letter K",18,95%,7
09/03/2025,demo_student,"01. Letters A and B",17,95%,1
08/24/2023,demo_student,"01. The Right Hand",31,88%,7
08/28/2023,demo_student,"02. The Left Hand",47,97%,2
08/28/2023,demo_student,"01. The Right Hand",66,96%,2
08/28/2023,demo_student,"02. The Left Hand",57,100%,0
08/28/2023,demo_student,"02. The Left Hand",62,97%,2
08/29/2023,demo_student,"01. The Right Hand",8,88%,7
08/29/2023,demo_student,"59. Just Some Names",19,89%,7
09/05/2023,demo_student,"Free Type",4,100%,0
09/18/2023,demo_student,"Mini Review",21,97%,1
09/20/2023,demo_student,"A fun lesson",48,100%,0
09/22/2023,demo_student,"Mini Review",15,100%,0
09/23/2023,demo_student,"60. All Letter Capitals",23,98%,1
09/27/2023,demo_student,"1. J and F keys",16,100%,0
09/27/2023,demo_student,"1. J and F keys",21,100%,0
10/04/2023,demo_student,"1. J and F keys",37,93%,4
10/05/2023,demo_student,,48,100%,0
10/05/2023,demo_student,"Resume Test",48,88%,1
10/05/2023,demo_student,"Resume Test",48,80%,2
10/05/2023,demo_student,"Resume Test",48,88%,1
10/05/2023,demo_student,"Resume Test",32,100%,0
10/06/2023,demo_student,"A fun lesson",48,100%,0
10/06/2023,demo_student,"Resume Test",48,100%,0
10/06/2023,demo_student,"Free Type",45,100%,0
10/06/2023,demo_student,"Free Type",45,100%,0
10/09/2023,demo_student,"A fun lesson",48,100%,0
10/09/2023,demo_student,"Resume Test",48,100%,0
10/09/2023,demo_student,,42,93%,4
10/09/2023,demo_student,,44,93%,4
10/09/2023,demo_student,,44,96%,2
10/09/2023,demo_student,,48,100%,0
10/09/2023,demo_student,"1. J and F keys",42,96%,2
10/09/2023,demo_student,,44,95%,3
10/09/2023,demo_student,"01. The Right Hand",73,100%,0
10/09/2023,demo_student,"01. The Right Hand",60,90%,6
10/09/2023,demo_student,"01. The Right Hand",44,84%,10
10/09/2023,demo_student,"1. J and F keys",44,96%,2
10/09/2023,demo_student,"01. The Right Hand",66,100%,0
10/10/2023,demo_student,"1. J and F keys",24,93%,4
10/12/2023,demo_student,"Mini Review",36,88%,5
10/18/2023,demo_student,"Mini Review",43,90%,4
10/18/2023,demo_student,"Mini Review",28,54%,33
