"Student Username",Date,Lesson,WPM," Accuracy",Errors
tails,06/17/2024,"1. J and F keys",37,93%,4
tails,06/17/2024,"2. K and D keys",44,93%,4
tails,06/17/2024,"3. JFKD Practice",34,96%,3
tails,06/17/2024,"4. L and S keys",39,93%,4
tails,06/17/2024,"5. JFKDLS Practice",33,85%,13
tails,06/17/2024,"6. A and ; keys",36,93%,5
tails,06/17/2024,"7. Full Home Row",28,73%,29
tails,06/17/2024,"8. Right Hand Home Row",47,85%,9
tails,06/17/2024,"9. Left Hand Home Row",50,94%,4
tails,06/17/2024,"11. The I key",47,92%,13
demo_student,06/07/2023,"01. The Right Hand",26,98%,1
demo_student,06/07/2023,"01. The Right Hand",66,100%,0
demo_student,08/14/2023,"01. The Right Hand",47,87%,8
demo_student,09/15/2023,"02. The Left Hand",40,97%,2
demo_student,09/20/2023,"09. Letter J",29,96%,5
demo_student,12/15/2023,"01. Letters A and B",12,70%,9
demo_student,09/11/2024,"02. Letter C",3,23%,99
demo_student,09/11/2024,"02. Letter C",4,22%,101
demo_student,10/08/2024,"BRL Custom Lesson",12,78%,8
demo_student,11/05/2024,"Free Type",72,0%,0
demo_student,09/03/2025,"01. Letters A and B",19,100%,0
demo_student,09/03/2025,"09. Letter J",18,99%,1
demo_student,09/03/2025,"01. Letters A and B",19,100%,0
demo_student,09/03/2025,"10. Letter K",18,95%,7
demo_student,09/03/2025,"01. Letters A and B",17,95%,1
demo_student,08/24/2023,"01. The Right Hand",31,88%,7
demo_student,08/28/2023,"02. The Left Hand",47,97%,2
demo_student,08/28/2023,"01. The Right Hand",66,96%,2
demo_student,08/28/2023,"02. The Left Hand",57,100%,0
demo_student,08/28/2023,"02. The Left Hand",62,97%,2
demo_student,08/29/2023,"01. The Right Hand",8,88%,7
demo_student,08/29/2023,"59. Just Some Names",19,89%,7
demo_student,09/05/2023,"Free Type",4,100%,0
demo_student,09/18/2023,"Mini Review",21,97%,1
demo_student,09/20/2023,"A fun lesson",48,100%,0
demo_student,09/22/2023,"Mini Review",15,100%,0
demo_student,09/23/2023,"60. All Letter Capitals",23,98%,1
demo_student,09/27/2023,"1. J and F keys",16,100%,0
demo_student,09/27/2023,"1. J and F keys",21,100%,0
demo_student,10/04/2023,"1. J and F keys",37,93%,4
demo_student,10/05/2023,,48,100%,0
demo_student,10/05/2023,"Resume Test",48,88%,1
demo_student,10/05/2023,"Resume Test",48,80%,2
demo_student,10/05/2023,"Resume Test",48,88%,1
demo_student,10/05/2023,"Resume Test",32,100%,0
demo_student,10/06/2023,"A fun lesson",48,100%,0
demo_student,10/06/2023,"Resume Test",48,100%,0
demo_student,10/06/2023,"Free Type",45,100%,0
demo_student,10/06/2023,"Free Type",45,100%,0
demo_student,10/09/2023,"A fun lesson",48,100%,0
demo_student,10/09/2023,"Resume Test",48,100%,0
demo_student,10/09/2023,,42,93%,4
demo_student,10/09/2023,,44,93%,4
demo_student,10/09/2023,,44,96%,2
demo_student,10/09/2023,,48,100%,0
demo_student,10/09/2023,"1. J and F keys",42,96%,2
demo_student,10/09/2023,,44,95%,3
demo_student,10/09/2023,"01. The Right Hand",73,100%,0
demo_student,10/09/2023,"01. The Right Hand",60,90%,6
demo_student,10/09/2023,"01. The Right Hand",44,84%,10
demo_student,10/09/2023,"1. J and F keys",44,96%,2
demo_student,10/09/2023,"01. The Right Hand",66,100%,0
demo_student,10/10/2023,"1. J and F keys",24,93%,4
demo_student,10/12/2023,"Mini Review",36,88%,5
demo_student,10/18/2023,"Mini Review",43,90%,4
demo_student,10/18/2023,"Mini Review",28,54%,33
demo_student,11/13/2023,"1. J and F keys",34,93%,4
demo_student,12/10/2023,"38. The V key",35,93%,8
demo_student,12/15/2023,"1. J and F keys",30,96%,2
demo_student,12/15/2023,"1. J and F keys",16,92%,5
demo_student,12/15/2023,"61. Comma",18,92%,11
demo_student,12/15/2023,"61. Comma",36,87%,19
demo_student,12/20/2023,"01. The Right Hand",60,96%,2
demo_student,01/23/2024,"A fun lesson",48,80%,1
demo_student,01/23/2024,"A fun lesson",48,100%,0
demo_student,01/23/2024,"A fun lesson",16,100%,0
demo_student,02/22/2024,"Mini Review",19,93%,3
demo_student,02/22/2024,"62. Food with Commas",28,96%,5
demo_student,03/12/2024,"1. J and F keys",18,90%,6
demo_student,04/11/2024,"01. The Right Hand",37,93%,4
demo_student,04/11/2024,"01. The Right Hand",60,91%,5
demo_student,04/11/2024,,44,93%,4
demo_student,04/11/2024,,44,98%,1
demo_student,04/11/2024,,42,95%,3
demo_student,04/11/2024,,44,95%,3
demo_student,04/11/2024,,30,86%,9
demo_student,04/11/2024,"01. The Right Hand",29,96%,3
demo_student,04/11/2024,"05. The E Key",47,99%,1
demo_student,04/18/2024,"01. The Right Hand",44,94%,3
demo_student,04/18/2024,"01. The Right Hand",4,94%,3
demo_student,04/18/2024,,55,96%,2
demo_student,04/18/2024,"01. The Right Hand",60,98%,1
demo_student,05/06/2024,"01. The Right Hand",51,91%,5
demo_student,05/06/2024,"01. The Right Hand",26,93%,4
demo_student,05/06/2024,"01. The Right Hand",66,98%,1
demo_student,05/06/2024,"School for the Blind curriculum",56,97%,1
demo_student,05/06/2024,"Mini Review",53,97%,2
demo_student,05/06/2024,"01. The Right Hand",52,98%,1
demo_student,05/06/2024,"01. The Right Hand",41,93%,5
demo_student,05/06/2024,"01. The Right Hand",45,97%,2
demo_student,05/06/2024,"1. J and F keys",42,98%,1
demo_student,05/06/2024,"1. J and F keys",32,95%,3
demo_student,05/06/2024,"1. J and F keys",35,98%,1
demo_student,05/06/2024,"1. J and F keys",44,96%,2
demo_student,05/07/2024,"01. The Right Hand",45,92%,6
demo_student,05/07/2024,"IAER 2019",33,100%,0
demo_student,05/07/2024,"A fun lesson",24,100%,0
demo_student,05/07/2024,"A fun lesson",24,100%,0
demo_student,05/07/2024,"A fun lesson",48,100%,0
demo_student,05/07/2024,"A fun lesson",10,30%,9
demo_student,05/07/2024,"A fun lesson",16,23%,13
demo_student,05/07/2024,"A fun lesson",16,40%,6
demo_student,05/07/2024,"A fun lesson",12,33%,8
demo_student,05/07/2024,"A fun lesson",24,44%,5
demo_student,05/07/2024,"A fun lesson",12,28%,10
demo_student,05/07/2024,"A fun lesson",24,57%,3
demo_student,05/07/2024,"A fun lesson",24,57%,3
demo_student,05/07/2024,"A fun lesson",16,36%,7
demo_student,05/07/2024,"A fun lesson",48,100%,0
demo_student,05/07/2024,"A fun lesson",12,36%,7
demo_student,05/07/2024,"A fun lesson",16,40%,6
demo_student,05/07/2024,"A fun lesson",16,100%,0
demo_student,05/07/2024,"A fun lesson",12,18%,18
demo_student,05/07/2024,"A fun lesson",16,16%,21
demo_student,05/07/2024,"A fun lesson",16,40%,6
demo_student,05/07/2024,"A fun lesson",24,44%,5
demo_student,05/07/2024,"A fun lesson",16,36%,7
demo_student,05/07/2024,"A fun lesson",16,40%,6
demo_student,05/07/2024,"A fun lesson",24,33%,8
demo_student,05/07/2024,"A fun lesson",48,30%,9
demo_student,05/07/2024,"A fun lesson",16,40%,6
demo_student,05/07/2024,"A fun lesson",12,14%,23
demo_student,05/18/2024,"1. J and F keys",34,95%,3
demo_student,05/20/2024,"A fun lesson",48,40%,6
demo_student,05/20/2024,"A fun lesson",16,50%,4
demo_student,05/20/2024,"A fun lesson",16,80%,1
demo_student,06/03/2024,"01. The Right Hand",51,98%,1
demo_student,06/17/2024,"63. Period",38,99%,1
demo_student,06/17/2024,"64. Random Phrases",51,97%,3
demo_student,06/17/2024,"65. Question Mark",27,95%,5
demo_student,06/17/2024,"66. Just Some Questions",39,97%,3
demo_student,06/17/2024,"67. Apostrophe",31,91%,13
demo_student,06/20/2024,"01. The Right Hand",43,96%,3
demo_student,06/20/2024,"01. The Right Hand",47,98%,1
demo_student,06/20/2024,"01. The Right Hand",39,89%,9
demo_student,06/20/2024,"01. The Right Hand",52,93%,5
demo_student,06/25/2024,"01. The Right Hand",45,90%,8
demo_student,06/25/2024,"01. The Right Hand",43,95%,4
demo_student,06/25/2024,"02. The Left Hand",55,97%,2
demo_student,06/25/2024,"A fun lesson",48,100%,0
demo_student,06/25/2024,"A fun lesson",24,80%,1
demo_student,06/25/2024,"A fun lesson",48,80%,1
demo_student,06/25/2024,"A fun lesson",24,80%,1
demo_student,06/25/2024,"A fun lesson",24,80%,1
demo_student,06/25/2024,"A fun lesson",16,80%,1
demo_student,06/25/2024,"A fun lesson",8,50%,4
demo_student,06/25/2024,"A fun lesson",4,80%,1
demo_student,06/25/2024,"A fun lesson",48,100%,0
demo_student,06/26/2024,"A fun lesson",24,80%,1
demo_student,06/26/2024,"A fun lesson",48,80%,1
demo_student,06/26/2024,"04. The I Key",26,97%,3
demo_student,06/28/2024,"Mini Review",3,98%,1
demo_student,07/01/2024,"68. Names and Apostrophes",47,96%,6
demo_student,07/01/2024,"69. Why?",49,95%,13
demo_student,07/01/2024,"70. Mixed Sentences",55,99%,1
demo_student,07/01/2024,"71. The 1 key",66,98%,4
demo_student,07/01/2024,"71. The 1 key",64,95%,10
demo_student,07/01/2024,"72. The 2 key",52,92%,21
demo_student,07/01/2024,"1. J and F keys",39,90%,6
demo_student,07/01/2024,"2. K and D keys",44,98%,1
demo_student,07/01/2024,"3. JFKD Practice",34,90%,8
demo_student,07/01/2024,"4. L and S keys",47,96%,2
demo_student,07/01/2024,"5. JFKDLS Practice",33,86%,12
demo_student,07/01/2024,"6. A and ; keys",39,93%,5
demo_student,07/01/2024,"7. Full Home Row",31,86%,13
demo_student,07/01/2024,"8. Right Hand Home Row",51,85%,9
demo_student,07/01/2024,"9. Left Hand Home Row",62,93%,5
demo_student,07/02/2024,"Mini Review",36,97%,1
demo_student,07/02/2024,"01. The Right Hand",60,96%,2
demo_student,07/02/2024,"01. The Right Hand",51,80%,13
demo_student,07/02/2024,"10. Home Row Review",40,89%,16
demo_student,07/09/2024,"01. The Right Hand",33,79%,14
demo_student,07/10/2024,"01. The Right Hand",66,98%,1
demo_student,07/10/2024,"01. The Right Hand",66,96%,2
demo_student,07/10/2024,"01. The Right Hand",51,94%,3
demo_student,07/10/2024,"01. The Right Hand",60,94%,3
demo_student,07/10/2024,"1. J and F keys",37,93%,4
demo_student,07/10/2024,"01. The Right Hand",60,98%,1
demo_student,07/10/2024,"01. The Right Hand",15,100%,0
demo_student,07/18/2024,"Home Row Only",40,91%,10
demo_student,07/23/2024,"11. The I key",14,89%,20
demo_student,07/27/2024,"11. The I key",33,95%,8
demo_student,07/27/2024,"01. The Right Hand",4,93%,4
demo_student,07/27/2024,"02. The Left Hand",38,98%,1
demo_student,07/27/2024,"02. The Left Hand",42,91%,6
demo_student,07/27/2024,"A fun lesson",48,100%,0
